"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Geographic Area";"Ireland";"UK";"Poland";"Lithuania";"Other EU25";"Rest of World";"Total"
"Dublin City and Suburbs  ";830462;47328;17524;6345;28240;73365;1003264
"Dublin City 02  ";401122;22231;10580;2600;17526;37496;491555
"Dublin City 02/001";1347;63;7;2;1;19;1439
"Dublin City 02/002";988;33;0;0;4;6;1031
"Dublin City 02/003";966;21;2;0;4;1;994
"Dublin City 02/004";763;18;6;5;6;17;815
"Dublin City 02/005";749;21;4;2;14;13;803
"Dublin City 02/006";946;25;8;0;3;25;1007
"Dublin City 02/007";934;28;14;5;13;15;1009
"Dublin City 02/008";1004;35;11;0;10;7;1067
"Dublin City 02/009";1053;34;4;1;10;11;1113
"Dublin City 02/010";875;42;10;0;11;17;955
"Dublin City 02/011";823;28;11;5;9;7;883
"Dublin City 02/012";856;41;22;0;15;7;941
"Dublin City 02/013";860;27;11;4;19;8;929
"Dublin City 02/014";924;39;19;1;7;22;1012
"Dublin City 02/015";1068;26;2;3;12;20;1131
"Dublin City 02/016";844;32;12;0;18;23;929
"Dublin City 02/017";1226;59;0;0;1;0;1286
"Dublin City 02/018";955;39;2;0;1;2;999
"Dublin City 02/019";959;37;0;0;3;14;1013
"Dublin City 02/020";500;38;72;17;50;43;720
"Dublin City 02/021";1022;55;63;15;23;32;1210
"Dublin City 02/022";1182;62;0;0;9;14;1267
"Dublin City 02/023";1103;43;0;0;2;13;1161
"Dublin City 02/024";847;82;121;26;45;71;1192
"Dublin City 02/025";281;17;0;0;0;3;301
"Dublin City 02/026";783;38;11;0;13;28;873
"Dublin City 02/027";795;18;0;0;9;24;846
"Dublin City 02/028";815;23;18;2;18;35;911
"Dublin City 02/029";847;26;9;2;10;14;908
"Dublin City 02/030";873;43;14;4;22;26;982
"Dublin City 02/031";747;18;6;4;16;15;806
"Dublin City 02/032";897;26;19;7;18;9;976
"Dublin City 02/033";981;25;8;0;14;14;1042
"Dublin City 02/034";1006;30;18;6;28;25;1113
"Dublin City 02/035";798;27;28;0;9;24;886
"Dublin City 02/036";863;29;8;3;23;13;939
"Dublin City 02/037";1130;42;7;6;15;30;1230
"Dublin City 02/038";868;21;0;4;3;6;902
"Dublin City 02/039";1057;36;0;0;4;13;1110
"Dublin City 02/040";947;24;0;6;3;4;984
"Dublin City 02/041";896;14;4;0;5;0;919
"Dublin City 02/042";1099;34;5;0;6;18;1162
"Dublin City 02/043";960;26;5;8;8;11;1018
"Dublin City 02/044";860;27;8;3;3;17;918
"Dublin City 02/045";742;22;4;4;4;7;783
"Dublin City 02/046";897;21;0;2;1;19;940
"Dublin City 02/047";843;13;3;0;2;20;881
"Dublin City 02/048";906;27;0;1;1;6;941
"Dublin City 02/049";922;23;0;0;3;8;956
"Dublin City 02/050";1202;27;3;0;3;24;1259
"Dublin City 02/051";1230;32;0;0;4;15;1281
"Dublin City 02/052";1557;54;45;23;15;61;1755
"Dublin City 02/053";1505;60;0;0;6;31;1602
"Dublin City 02/054";883;52;0;0;2;8;945
"Dublin City 02/055";800;15;0;0;5;13;833
"Dublin City 02/056";876;17;6;0;5;4;908
"Dublin City 02/057";789;45;29;4;15;76;958
"Dublin City 02/058";784;33;11;0;8;2;838
"Dublin City 02/059";895;25;7;9;6;23;965
"Dublin City 02/060";897;33;21;1;5;41;998
"Dublin City 02/061";767;29;7;0;4;38;845
"Dublin City 02/062";784;31;6;7;8;24;860
"Dublin City 02/063";952;38;34;10;13;186;1233
"Dublin City 02/064";802;22;6;8;15;69;922
