"Theme 2 - 3 : Usually resident population by ethnic or cultural background, 2006";;;;;;;;
"Geographic Area";"White Irish";"White Irish Traveller";"Any other White background";"Black or Black Irish";"Asian or Asian Irish";"Other";"Not stated";"Total"
"Dublin City and Suburbs  ";831591;3787;81532;17518;28311;15191;25334;1003264
"Dublin City 02  ";399384;1812;45353;5526;16436;7212;15832;491555
"Dublin City 02/001";1141;247;25;10;3;1;12;1439
"Dublin City 02/002";990;11;10;1;3;2;14;1031
"Dublin City 02/003";975;0;6;0;0;5;8;994
"Dublin City 02/004";763;4;20;0;8;3;17;815
"Dublin City 02/005";719;14;26;4;6;1;33;803
"Dublin City 02/006";950;0;14;9;1;15;18;1007
"Dublin City 02/007";884;2;29;4;9;7;74;1009
"Dublin City 02/008";999;12;22;8;0;4;22;1067
"Dublin City 02/009";1049;10;31;1;3;9;10;1113
"Dublin City 02/010";896;0;33;4;3;10;9;955
"Dublin City 02/011";821;1;37;1;1;4;18;883
"Dublin City 02/012";871;0;55;1;7;1;6;941
"Dublin City 02/013";873;0;36;2;3;4;11;929
"Dublin City 02/014";952;0;42;0;11;4;3;1012
"Dublin City 02/015";1083;0;25;6;7;5;5;1131
"Dublin City 02/016";845;0;35;0;9;5;35;929
"Dublin City 02/017";1245;4;9;0;0;3;25;1286
"Dublin City 02/018";907;0;11;1;0;7;73;999
"Dublin City 02/019";946;1;8;12;2;3;41;1013
"Dublin City 02/020";487;8;147;11;20;25;22;720
"Dublin City 02/021";1035;2;123;7;21;6;16;1210
"Dublin City 02/022";1209;0;16;5;1;3;33;1267
"Dublin City 02/023";1115;0;14;0;4;0;28;1161
"Dublin City 02/024";536;270;198;25;36;18;109;1192
"Dublin City 02/025";284;2;3;3;0;1;8;301
"Dublin City 02/026";777;0;38;0;19;8;31;873
"Dublin City 02/027";801;0;17;0;11;7;10;846
"Dublin City 02/028";815;0;45;4;15;14;18;911
"Dublin City 02/029";861;0;33;2;1;3;8;908
"Dublin City 02/030";881;8;48;3;13;5;24;982
"Dublin City 02/031";765;1;28;2;2;3;5;806
"Dublin City 02/032";838;0;42;2;4;2;88;976
"Dublin City 02/033";996;0;25;0;10;6;5;1042
"Dublin City 02/034";1018;0;70;0;10;7;8;1113
"Dublin City 02/035";814;0;50;3;4;2;13;886
"Dublin City 02/036";866;0;40;1;5;6;21;939
"Dublin City 02/037";1135;0;44;20;5;9;17;1230
"Dublin City 02/038";873;0;15;0;1;1;12;902
"Dublin City 02/039";1074;8;14;1;0;9;4;1110
"Dublin City 02/040";951;0;16;2;0;2;13;984
"Dublin City 02/041";881;5;9;1;1;1;21;919
"Dublin City 02/042";1102;12;23;10;0;15;0;1162
"Dublin City 02/043";960;0;30;3;3;4;18;1018
"Dublin City 02/044";873;0;28;10;3;2;2;918
"Dublin City 02/045";733;0;16;1;0;6;27;783
"Dublin City 02/046";888;0;14;13;5;0;20;940
"Dublin City 02/047";842;0;13;16;4;4;2;881
"Dublin City 02/048";902;0;11;5;1;5;17;941
"Dublin City 02/049";912;2;12;3;0;5;22;956
"Dublin City 02/050";1177;3;10;23;0;7;39;1259
"Dublin City 02/051";1236;0;17;10;1;7;10;1281
"Dublin City 02/052";1503;4;116;47;8;14;63;1755
"Dublin City 02/053";1470;12;15;26;5;13;61;1602
"Dublin City 02/054";770;153;11;1;0;3;7;945
"Dublin City 02/055";806;0;14;5;3;2;3;833
"Dublin City 02/056";879;1;15;4;0;2;7;908
"Dublin City 02/057";791;0;64;24;14;6;59;958
"Dublin City 02/058";796;3;22;0;0;2;15;838
"Dublin City 02/059";901;0;35;11;6;5;7;965
"Dublin City 02/060";888;5;38;9;26;6;26;998
"Dublin City 02/061";781;0;14;3;29;4;14;845
"Dublin City 02/062";796;2;38;0;18;1;5;860
"Dublin City 02/063";930;9;89;31;130;27;17;1233
"Dublin City 02/064";781;0;34;2;56;8;41;922
"Dublin City 02/065";811;0;57;4;29;6;7;914
"Dublin City 02/066";466;6;71;13;12;8;18;594
"Dublin City 02/067";717;0;44;5;2;10;22;800
"Dublin City 02/068";462;0;124;5;23;25;19;658
"Dublin City 02/069";305;7;42;2;7;10;7;380
"Dublin City 02/070";790;0;10;8;0;1;5;814
"Dublin City 02/071";435;5;30;0;16;5;8;499
"Dublin City 02/072";865;2;3;9;7;3;4;893
"Dublin City 02/073";944;0;13;4;1;2;6;970
"Dublin City 02/074";918;1;9;2;5;6;32;973
"Dublin City 02/075";522;0;118;3;43;14;10;710
"Dublin City 02/076";502;0;111;9;15;10;4;651
"Dublin City 02/077";641;7;125;21;25;18;11;848
"Dublin City 02/078";640;0;27;0;24;7;8;706
"Dublin City 02/079";798;0;87;1;8;11;5;910
"Dublin City 02/080";470;17;76;15;6;15;19;618
"Dublin City 02/081";922;0;38;6;22;9;10;1007
"Dublin City 02/082";807;0;47;9;19;9;22;913
"Dublin City 02/083";809;2;23;6;18;9;20;887
"Dublin City 02/084";879;0;26;0;23;4;30;962
"Dublin City 02/085";881;4;19;9;4;2;20;939
"Dublin City 02/086";723;6;24;0;37;7;6;803
"Dublin City 02/087";949;2;46;6;27;4;10;1044
"Dublin City 02/088";653;0;33;5;20;6;10;727
"Dublin City 02/089";679;0;29;0;5;11;1;725
"Dublin City 02/090";715;0;22;4;19;10;3;773
"Dublin City 02/091";826;1;33;11;5;4;9;889
"Dublin City 02/092";826;0;26;0;8;14;12;886
"Dublin City 02/093";923;0;86;28;41;14;7;1099
"Dublin City 02/094";825;0;60;8;13;5;6;917
"Dublin City 02/095";975;0;41;17;9;20;17;1079
"Dublin City 02/096";784;0;40;1;2;3;19;849
"Dublin City 02/097";629;0;29;3;16;1;7;685
"Dublin City 02/098";625;0;37;4;3;5;5;679
"Dublin City 02/099";972;0;30;7;12;5;12;1038
"Dublin City 02/100";875;6;35;4;12;9;30;971
"Dublin City 02/101";869;0;24;11;11;11;9;935
"Dublin City 02/102";875;0;11;8;9;5;6;914
"Dublin City 02/103";792;0;38;1;1;6;10;848
"Dublin City 02/104";915;1;31;4;8;10;8;977
"Dublin City 02/105";862;0;30;1;13;8;10;924
"Dublin City 02/106";845;2;31;7;3;11;0;899
"Dublin City 02/107";725;0;60;3;12;8;1;809
"Dublin City 02/108, 02/560";1582;6;72;14;14;36;25;1749
"Dublin City 02/109";722;0;34;1;10;6;5;778
"Dublin City 02/110";751;0;30;1;12;9;8;811
"Dublin City 02/111";551;0;61;1;14;13;3;643
"Dublin City 02/112";686;0;55;3;27;14;5;790
"Dublin City 02/113";429;0;68;5;26;3;24;555
"Dublin City 02/114";401;0;43;3;11;5;8;471
"Dublin City 02/115";472;1;54;5;27;11;5;575
"Dublin City 02/116";566;0;26;1;19;7;5;624
"Dublin City 02/117";431;0;54;9;12;16;3;525
"Dublin City 02/118";560;0;33;3;4;8;3;611
"Dublin City 02/119";630;0;20;6;19;0;5;680
"Dublin City 02/120";691;0;36;1;15;6;11;760
"Dublin City 02/121";627;0;39;9;7;8;5;695
"Dublin City 02/122";851;0;21;0;5;0;3;880
"Dublin City 02/123";812;0;49;5;6;5;7;884
"Dublin City 02/124";756;0;25;0;3;8;8;800
"Dublin City 02/125";672;0;51;5;14;11;6;759
"Dublin City 02/126";1217;0;216;7;71;33;8;1552
"Dublin City 02/127";878;0;28;4;22;11;19;962
"Dublin City 02/128";442;0;68;3;4;11;2;530
"Dublin City 02/129";623;0;95;9;20;10;5;762
"Dublin City 02/130";466;0;44;9;23;6;10;558
"Dublin City 02/131";382;0;92;12;7;3;17;513
"Dublin City 02/132";376;0;51;6;33;9;10;485
"Dublin City 02/133";499;0;66;8;31;9;14;627
"Dublin City 02/134";463;0;60;7;10;10;4;554
"Dublin City 02/135";338;0;68;15;25;13;8;467
"Dublin City 02/136";284;0;64;7;31;3;12;401
"Dublin City 02/137";348;0;60;9;16;7;7;447
"Dublin City 02/138";324;0;67;5;16;10;9;431
"Dublin City 02/139";415;0;103;7;30;14;11;580
"Dublin City 02/140";261;0;81;6;27;17;9;401
"Dublin City 02/141";435;1;62;4;20;15;4;541
"Dublin City 02/142";714;0;38;1;16;12;8;789
"Dublin City 02/143";675;0;104;9;70;25;7;890
"Dublin City 02/144";434;0;86;1;121;7;7;656
"Dublin City 02/145";862;1;60;8;85;17;208;1241
"Dublin City 02/146";571;0;65;2;59;15;9;721
"Dublin City 02/147";574;0;83;3;45;12;4;721
"Dublin City 02/148";430;0;66;0;9;10;10;525
"Dublin City 02/149";438;0;123;5;26;8;19;619
"Dublin City 02/150";578;0;155;3;26;15;164;941
"Dublin City 02/151";415;1;107;5;27;17;47;619
"Dublin City 02/152";289;0;76;3;35;11;5;419
"Dublin City 02/153";182;0;66;5;27;9;8;297
"Dublin City 02/154";457;0;39;2;10;13;8;529
"Dublin City 02/155";640;0;74;7;25;7;26;779
"Dublin City 02/156";480;0;45;2;29;14;18;588
"Dublin City 02/157";543;0;68;0;17;7;7;642
"Dublin City 02/158";452;0;68;8;62;17;12;619
"Dublin City 02/159";604;1;66;2;26;8;67;774
"Dublin City 02/160";613;1;82;4;39;7;12;758
"Dublin City 02/161";448;0;71;8;28;11;2;568
"Dublin City 02/162";378;0;48;12;45;6;19;508
"Dublin City 02/163";510;0;54;3;34;13;20;634
"Dublin City 02/164";309;0;44;5;24;11;12;405
"Dublin City 02/165";232;0;65;6;52;9;40;404
"Dublin City 02/166";429;0;61;5;23;11;5;534
"Dublin City 02/167";404;0;90;1;21;24;9;549
"Dublin City 02/168";381;0;76;6;23;9;5;500
"Dublin City 02/169";382;0;115;9;64;10;26;606
"Dublin City 02/170";385;0;82;19;38;16;19;559
"Dublin City 02/171";424;0;82;7;40;7;11;571
"Dublin City 02/172";353;0;59;7;62;11;7;499
"Dublin City 02/173";383;0;46;0;23;8;14;474
"Dublin City 02/174";513;0;42;2;10;10;13;590
"Dublin City 02/175";329;0;40;5;16;2;1;393
"Dublin City 02/176";331;0;43;2;22;7;7;412
"Dublin City 02/177";352;0;60;5;25;4;3;449
"Dublin City 02/178";509;0;61;1;14;12;10;607
"Dublin City 02/179";664;0;45;1;9;13;2;734
"Dublin City 02/180";634;0;76;10;10;7;8;745
"Dublin City 02/181";596;0;61;2;7;10;20;696
"Dublin City 02/182";503;0;82;3;11;9;12;620
"Dublin City 02/183";273;0;92;10;40;13;8;436
"Dublin City 02/184";220;0;35;15;26;4;7;307
"Dublin City 02/185";340;0;98;6;17;11;25;497
"Dublin City 02/186";413;0;70;14;32;5;12;546
"Dublin City 02/187";474;0;66;3;9;5;20;577
"Dublin City 02/188";255;0;50;9;20;9;20;363
"Dublin City 02/189";346;0;44;7;20;11;15;443
"Dublin City 02/190";498;0;106;1;58;16;9;688
"Dublin City 02/191";361;0;86;14;38;18;15;532
"Dublin City 02/192";418;0;82;17;15;10;7;549
"Dublin City 02/193";307;0;81;19;36;16;20;479
"Dublin City 02/194";385;0;104;9;24;7;43;572
"Dublin City 02/195";312;0;156;11;60;21;25;585
"Dublin City 02/196";244;0;101;8;36;23;9;421
"Dublin City 02/197";415;0;100;5;23;16;16;575
"Dublin City 02/198";617;0;63;10;26;9;10;735
"Dublin City 02/199";295;0;216;28;80;30;33;682
"Dublin City 02/200";359;24;111;11;77;17;14;613
"Dublin City 02/201";295;0;127;17;25;28;35;527
"Dublin City 02/202";405;0;68;8;22;11;8;522
"Dublin City 02/203";477;0;89;13;11;20;9;619
"Dublin City 02/204";460;0;56;14;23;7;1;561
"Dublin City 02/205";367;0;123;8;29;17;6;550
"Dublin City 02/206";472;0;103;14;60;10;8;667
"Dublin City 02/207";556;0;87;11;14;16;83;767
"Dublin City 02/208";800;0;44;5;11;8;6;874
"Dublin City 02/209";587;0;98;5;18;17;17;742
"Dublin City 02/210";765;0;92;14;34;10;6;921
"Dublin City 02/211";750;0;55;10;23;3;16;857
"Dublin City 02/212";829;0;41;5;3;6;0;884
"Dublin City 02/213";662;0;5;7;5;3;3;685
"Dublin City 02/214";322;0;48;40;39;15;13;477
"Dublin City 02/215";598;0;83;24;20;16;6;747
"Dublin City 02/216";384;0;84;18;92;25;7;610
"Dublin City 02/217";502;0;47;8;36;6;15;614
"Dublin City 02/218";1091;3;35;14;19;19;186;1367
"Dublin City 02/219";764;0;121;14;45;9;22;975
"Dublin City 02/220";490;0;181;33;58;36;71;869
"Dublin City 02/221";191;0;94;10;31;17;25;368
"Dublin City 02/222";613;0;36;7;17;16;44;733
"Dublin City 02/223";501;1;43;13;15;5;29;607
"Dublin City 02/224";349;1;105;14;46;21;16;552
"Dublin City 02/225";383;0;196;15;71;39;6;710
"Dublin City 02/226";774;0;29;3;2;3;9;820
"Dublin City 02/227";510;1;40;4;8;13;22;598
"Dublin City 02/228";633;0;16;0;3;11;12;675
"Dublin City 02/229";581;0;29;0;10;7;31;658
"Dublin City 02/231";432;0;74;27;39;19;6;597
"Dublin City 02/232";470;2;70;14;52;15;152;775
"Dublin City 02/233";471;0;41;1;15;5;4;537
"Dublin City 02/234";349;0;120;13;90;19;20;611
"Dublin City 02/235";341;1;99;21;32;24;26;544
"Dublin City 02/236";396;0;75;17;78;18;53;637
"Dublin City 02/237";277;0;113;30;56;31;8;515
"Dublin City 02/238";344;0;88;12;68;35;12;559
