"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
"Geographic Area";"Age Group";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
"Dublin City and Suburbs  ";"0 - 4 years";33022;33022;0;0;0;0;31576;31576;0;0;0;0
"Dublin City and Suburbs  ";"5 - 9 years";30764;30764;0;0;0;0;28990;28990;0;0;0;0
"Dublin City and Suburbs  ";"10 - 14 years";29563;29563;0;0;0;0;27682;27682;0;0;0;0
"Dublin City and Suburbs  ";"15 - 19 years";33512;33341;141;6;1;23;33198;32972;202;14;0;10
"Dublin City and Suburbs  ";"20 - 24 years";49951;48570;1275;36;28;42;51902;49572;2138;106;41;45
"Dublin City and Suburbs  ";"25 - 29 years";57120;50073;6551;207;167;122;56654;46973;8892;437;238;114
"Dublin City and Suburbs  ";"30 - 34 years";46535;29081;16226;570;507;151;45178;25614;17795;1070;519;180
"Dublin City and Suburbs  ";"35 - 39 years";38266;15363;20692;1150;884;177;37618;13852;20496;1916;1048;306
"Dublin City and Suburbs  ";"40 - 44 years";33649;8996;21725;1566;1084;278;35039;9022;21449;2612;1452;504
"Dublin City and Suburbs  ";"45 - 49 years";30769;5981;21238;1937;1234;379;32467;6365;20681;2976;1581;864
"Dublin City and Suburbs  ";"50 - 54 years";27403;4443;19382;1970;1069;539;29346;4991;19007;2761;1346;1241
"Dublin City and Suburbs  ";"55 - 59 years";24994;3556;18087;1733;824;794;26323;3834;17346;2227;1026;1890
"Dublin City and Suburbs  ";"60 - 64 years";19862;2484;14801;1113;510;954;21449;2883;13994;1318;582;2672
"Dublin City and Suburbs  ";"65 - 69 years";16184;1940;11999;714;253;1278;18512;2601;10958;744;302;3907
"Dublin City and Suburbs  ";"70 - 74 years";12797;1626;9145;386;131;1509;16145;2570;7701;395;148;5331
"Dublin City and Suburbs  ";"75 - 79 years";9206;1229;6083;171;54;1669;13504;2476;4554;168;54;6252
"Dublin City and Suburbs  ";"80 - 84 years";5280;691;3081;61;14;1433;9595;2045;1892;73;37;5548
"Dublin City and Suburbs  ";"85 years and over";2898;484;1209;24;9;1172;7683;1858;648;30;13;5134
"Dublin City 02  ";"0 - 4 years";13430;13430;0;0;0;0;12933;12933;0;0;0;0
"Dublin City 02  ";"5 - 9 years";12892;12892;0;0;0;0;12151;12151;0;0;0;0
"Dublin City 02  ";"10 - 14 years";12452;12452;0;0;0;0;11996;11996;0;0;0;0
"Dublin City 02  ";"15 - 19 years";14925;14790;109;6;1;19;14924;14779;129;7;0;9
"Dublin City 02  ";"20 - 24 years";27078;26214;789;25;16;34;28638;27404;1120;58;22;34
"Dublin City 02  ";"25 - 29 years";32214;28557;3347;121;96;93;31524;26965;4111;227;133;88
"Dublin City 02  ";"30 - 34 years";24358;16629;6978;313;315;123;22655;14586;7188;487;273;121
"Dublin City 02  ";"35 - 39 years";19016;9337;8443;622;486;128;18014;8102;8263;926;541;182
"Dublin City 02  ";"40 - 44 years";16536;5750;9111;873;609;193;16443;5379;8791;1280;708;285
"Dublin City 02  ";"45 - 49 years";14658;3971;8727;1045;691;224;14890;3868;8394;1420;735;473
"Dublin City 02  ";"50 - 54 years";12853;3025;7776;1117;620;315;12977;3056;7422;1259;621;619
"Dublin City 02  ";"55 - 59 years";11871;2493;7454;1004;481;439;12165;2380;7297;1050;474;964
"Dublin City 02  ";"60 - 64 years";9819;1799;6499;678;300;543;10531;1822;6307;683;270;1449
"Dublin City 02  ";"65 - 69 years";8559;1388;5780;462;159;770;9942;1712;5429;436;158;2207
"Dublin City 02  ";"70 - 74 years";7171;1174;4711;251;84;951;9354;1730;4101;236;68;3219
"Dublin City 02  ";"75 - 79 years";5370;887;3233;104;32;1114;8169;1685;2571;107;29;3777
"Dublin City 02  ";"80 - 84 years";3157;485;1708;41;4;919;6068;1420;1100;41;21;3486
"Dublin City 02  ";"85 years and over";1728;336;676;13;6;697;4750;1251;392;22;7;3078
"Dublin City 02/001";"0 - 4 years";65;65;0;0;0;0;41;41;0;0;0;0
"Dublin City 02/001";"5 - 9 years";61;61;0;0;0;0;46;46;0;0;0;0
"Dublin City 02/001";"10 - 14 years";79;79;0;0;0;0;60;60;0;0;0;0
"Dublin City 02/001";"15 - 19 years";63;61;2;0;0;0;73;71;2;0;0;0
"Dublin City 02/001";"20 - 24 years";70;60;7;3;0;0;95;79;12;4;0;0
"Dublin City 02/001";"25 - 29 years";78;63;12;2;0;1;67;46;16;5;0;0
"Dublin City 02/001";"30 - 34 years";40;25;14;0;1;0;52;28;18;5;0;1
"Dublin City 02/001";"35 - 39 years";42;18;19;4;1;0;44;12;19;8;5;0
"Dublin City 02/001";"40 - 44 years";37;9;19;4;5;0;37;6;21;8;2;0
"Dublin City 02/001";"45 - 49 years";42;7;30;2;1;2;50;7;22;13;3;5
"Dublin City 02/001";"50 - 54 years";43;5;32;5;0;1;61;3;39;8;10;1
"Dublin City 02/001";"55 - 59 years";40;1;37;2;0;0;33;1;22;7;1;2
"Dublin City 02/001";"60 - 64 years";17;0;14;2;0;1;23;0;19;1;0;3
"Dublin City 02/001";"65 - 69 years";13;1;10;0;0;2;12;0;7;0;0;5
"Dublin City 02/001";"70 - 74 years";10;0;8;0;0;2;18;0;10;1;0;7
"Dublin City 02/001";"75 - 79 years";9;0;7;0;0;2;12;0;3;0;0;9
"Dublin City 02/001";"80 - 84 years";2;0;2;0;0;0;4;0;1;0;0;3
"Dublin City 02/001";"85 years and over";0;0;0;0;0;0;1;0;0;0;0;1
"Dublin City 02/002";"0 - 4 years";41;41;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/002";"5 - 9 years";38;38;0;0;0;0;38;38;0;0;0;0
"Dublin City 02/002";"10 - 14 years";39;39;0;0;0;0;44;44;0;0;0;0
"Dublin City 02/002";"15 - 19 years";46;46;0;0;0;0;48;48;0;0;0;0
"Dublin City 02/002";"20 - 24 years";36;36;0;0;0;0;40;40;0;0;0;0
"Dublin City 02/002";"25 - 29 years";32;31;0;1;0;0;28;27;1;0;0;0
"Dublin City 02/002";"30 - 34 years";26;20;6;0;0;0;41;30;10;1;0;0
"Dublin City 02/002";"35 - 39 years";35;19;11;2;1;2;32;17;12;2;0;1
