"Theme 1 - 1 : Persons aged 18 and under by sex and single year of age and persons aged 19 and over by sex, 2006";;;;
"Geographic Area";"Year of Age";"Persons";"Males";"Females"
"Dublin City and Suburbs  ";0;13413;6878;6535
"Dublin City and Suburbs  ";1;12982;6687;6295
"Dublin City and Suburbs  ";2;12783;6544;6239
"Dublin City and Suburbs  ";3;12946;6623;6323
"Dublin City and Suburbs  ";4;12474;6290;6184
"Dublin City and Suburbs  ";5;12146;6230;5916
"Dublin City and Suburbs  ";6;11932;6128;5804
"Dublin City and Suburbs  ";7;12277;6372;5905
"Dublin City and Suburbs  ";8;11711;5978;5733
"Dublin City and Suburbs  ";9;11688;6056;5632
"Dublin City and Suburbs  ";10;11331;5866;5465
"Dublin City and Suburbs  ";11;11104;5756;5348
"Dublin City and Suburbs  ";12;11284;5757;5527
"Dublin City and Suburbs  ";13;11294;5942;5352
"Dublin City and Suburbs  ";14;12232;6242;5990
"Dublin City and Suburbs  ";15;12330;6410;5920
"Dublin City and Suburbs  ";16;12125;6140;5985
"Dublin City and Suburbs  ";17;12514;6345;6169
"Dublin City and Suburbs  ";18;13903;6897;7006
"Dublin City and Suburbs  ";"19+";792167;382634;409533
"Dublin City and Suburbs  ";"Total";1024636;501775;522861
"Dublin City 02  ";0;5723;2929;2794
"Dublin City 02  ";1;5259;2642;2617
"Dublin City 02  ";2;5096;2630;2466
"Dublin City 02  ";3;5189;2666;2523
"Dublin City 02  ";4;5096;2563;2533
"Dublin City 02  ";5;4950;2570;2380
"Dublin City 02  ";6;4975;2520;2455
"Dublin City 02  ";7;5173;2693;2480
"Dublin City 02  ";8;4985;2535;2450
"Dublin City 02  ";9;4960;2574;2386
"Dublin City 02  ";10;4922;2510;2412
"Dublin City 02  ";11;4748;2435;2313
"Dublin City 02  ";12;4807;2372;2435
"Dublin City 02  ";13;4812;2541;2271
"Dublin City 02  ";14;5159;2594;2565
"Dublin City 02  ";15;5101;2693;2408
"Dublin City 02  ";16;5238;2648;2590
"Dublin City 02  ";17;5302;2674;2628
"Dublin City 02  ";18;6274;3077;3197
"Dublin City 02  ";"19+";408442;198221;210221
"Dublin City 02  ";"Total";506211;248087;258124
"Dublin City 02/001";0;28;16;12
"Dublin City 02/001";1;24;17;7
"Dublin City 02/001";2;20;13;7
"Dublin City 02/001";3;14;8;6
"Dublin City 02/001";4;20;11;9
"Dublin City 02/001";5;18;9;9
"Dublin City 02/001";6;23;12;11
"Dublin City 02/001";7;20;11;9
"Dublin City 02/001";8;17;10;7
"Dublin City 02/001";9;29;19;10
"Dublin City 02/001";10;22;15;7
"Dublin City 02/001";11;31;15;16
"Dublin City 02/001";12;30;14;16
"Dublin City 02/001";13;17;12;5
"Dublin City 02/001";14;39;23;16
"Dublin City 02/001";15;25;14;11
"Dublin City 02/001";16;20;9;11
"Dublin City 02/001";17;29;9;20
"Dublin City 02/001";18;21;10;11
"Dublin City 02/001";"19+";993;464;529
"Dublin City 02/001";"Total";1440;711;729
"Dublin City 02/002";0;14;6;8
"Dublin City 02/002";1;9;5;4
"Dublin City 02/002";2;13;10;3
"Dublin City 02/002";3;15;9;6
"Dublin City 02/002";4;17;11;6
"Dublin City 02/002";5;9;6;3
"Dublin City 02/002";6;15;7;8
"Dublin City 02/002";7;18;8;10
"Dublin City 02/002";8;19;9;10
"Dublin City 02/002";9;15;8;7
"Dublin City 02/002";10;12;8;4
"Dublin City 02/002";11;12;5;7
"Dublin City 02/002";12;24;8;16
"Dublin City 02/002";13;19;8;11
"Dublin City 02/002";14;16;10;6
"Dublin City 02/002";15;22;11;11
"Dublin City 02/002";16;11;3;8
"Dublin City 02/002";17;20;10;10
"Dublin City 02/002";18;21;9;12
"Dublin City 02/002";"19+";734;349;385
"Dublin City 02/002";"Total";1035;500;535
"Dublin City 02/003";0;12;9;3
"Dublin City 02/003";1;10;6;4
"Dublin City 02/003";2;14;8;6
"Dublin City 02/003";3;8;5;3
"Dublin City 02/003";4;12;7;5
"Dublin City 02/003";5;18;9;9
"Dublin City 02/003";6;15;7;8
"Dublin City 02/003";7;13;9;4
"Dublin City 02/003";8;14;5;9
"Dublin City 02/003";9;26;17;9
"Dublin City 02/003";10;16;6;10
"Dublin City 02/003";11;17;9;8
"Dublin City 02/003";12;17;8;9
"Dublin City 02/003";13;11;7;4
"Dublin City 02/003";14;13;9;4
"Dublin City 02/003";15;17;7;10
