"Theme 2 - 2 : Persons usually resident and present in the State on Census Night, classified by nationality, 2006";;;;;;;;
"Geographic Area";"Irish";"UK";"Polish";"Lithuanian";"Other EU25";"Rest of World";"Not Stated";"Total"
"Dublin City and Suburbs  ";854717;17328;17641;6364;27512;63587;16115;1003264
"Dublin City 02  ";406916;8310;10736;2637;17567;34739;10650;491555
"Dublin City 02/001";1382;16;7;2;3;13;16;1439
"Dublin City 02/002";1002;9;0;0;3;6;11;1031
"Dublin City 02/003";969;4;2;0;3;4;12;994
"Dublin City 02/004";775;3;6;5;5;14;7;815
"Dublin City 02/005";739;5;4;2;14;16;23;803
"Dublin City 02/006";954;5;8;0;1;27;12;1007
"Dublin City 02/007";912;12;14;7;13;19;32;1009
"Dublin City 02/008";1020;5;11;0;7;5;19;1067
"Dublin City 02/009";1076;10;4;1;9;10;3;1113
"Dublin City 02/010";903;12;10;0;8;18;4;955
"Dublin City 02/011";830;6;17;2;9;7;12;883
"Dublin City 02/012";871;22;21;0;14;7;6;941
"Dublin City 02/013";881;3;11;4;19;8;3;929
"Dublin City 02/014";949;13;18;1;11;15;5;1012
"Dublin City 02/015";1083;4;3;3;12;18;8;1131
"Dublin City 02/016";856;11;13;0;11;20;18;929
"Dublin City 02/017";1243;21;0;0;1;2;19;1286
"Dublin City 02/018";939;10;2;0;0;0;48;999
"Dublin City 02/019";951;14;0;0;3;12;33;1013
"Dublin City 02/020";518;14;72;18;52;40;6;720
"Dublin City 02/021";1039;23;64;16;22;28;18;1210
"Dublin City 02/022";1195;23;0;0;7;8;34;1267
"Dublin City 02/023";1114;13;0;0;4;9;21;1161
"Dublin City 02/024";818;20;123;27;45;92;67;1192
"Dublin City 02/025";288;3;0;0;1;5;4;301
"Dublin City 02/026";785;14;11;0;10;25;28;873
"Dublin City 02/027";803;5;0;0;11;17;10;846
"Dublin City 02/028";822;4;17;2;19;33;14;911
"Dublin City 02/029";864;7;9;2;9;10;7;908
"Dublin City 02/030";899;10;13;3;24;25;8;982
"Dublin City 02/031";768;3;6;5;13;7;4;806
"Dublin City 02/032";869;9;14;6;20;5;53;976
"Dublin City 02/033";998;8;7;0;13;14;2;1042
"Dublin City 02/034";1016;11;16;7;31;25;7;1113
"Dublin City 02/035";811;9;27;0;11;14;14;886
"Dublin City 02/036";864;11;8;3;25;9;19;939
"Dublin City 02/037";1149;16;7;6;14;31;7;1230
"Dublin City 02/038";881;3;0;4;2;5;7;902
"Dublin City 02/039";1074;10;0;0;6;13;7;1110
"Dublin City 02/040";947;10;0;6;3;6;12;984
"Dublin City 02/041";891;3;3;0;3;1;18;919
"Dublin City 02/042";1120;9;4;0;7;18;4;1162
"Dublin City 02/043";961;11;5;8;7;14;12;1018
"Dublin City 02/044";874;10;8;3;4;15;4;918
"Dublin City 02/045";733;4;4;5;4;5;28;783
"Dublin City 02/046";885;11;0;2;1;16;25;940
"Dublin City 02/047";858;6;2;0;1;13;1;881
"Dublin City 02/048";916;7;0;1;1;7;9;941
"Dublin City 02/049";920;11;0;0;2;7;16;956
"Dublin City 02/050";1173;2;3;0;3;41;37;1259
