"Theme 2 - 5 : Number of persons by religion, 2006";;;;;
"Religion";"Catholic";"Other stated religion";"No religion";"Not stated";"Total"
"Geographic Area";;;;;
"Dublin City and Suburbs  ";830208;97134;72342;24952;1024636
"Dublin City 02  ";404403;42857;43177;15774;506211
"Dublin City 02/001";1369;43;17;11;1440
"Dublin City 02/002";998;17;10;10;1035
"Dublin City 02/003";948;16;14;19;997
"Dublin City 02/004";766;18;28;9;821
"Dublin City 02/005";747;24;17;16;804
"Dublin City 02/006";934;35;26;14;1009
"Dublin City 02/007";891;20;46;56;1013
"Dublin City 02/008";1006;16;28;17;1067
"Dublin City 02/009";1057;22;26;10;1115
"Dublin City 02/010";900;39;36;5;980
"Dublin City 02/011";828;18;37;12;895
"Dublin City 02/012";846;44;44;8;942
"Dublin City 02/013";874;16;39;1;930
"Dublin City 02/014";928;36;45;6;1015
"Dublin City 02/015";1055;43;38;5;1141
"Dublin City 02/016";841;36;28;33;938
"Dublin City 02/017";1231;13;21;22;1287
"Dublin City 02/018";900;26;8;69;1003
"Dublin City 02/019";902;50;34;31;1017
"Dublin City 02/020";592;62;65;20;739
"Dublin City 02/021";1091;60;48;37;1236
"Dublin City 02/022";1194;28;23;22;1267
"Dublin City 02/023";1107;21;12;22;1162
"Dublin City 02/024";977;91;41;108;1217
"Dublin City 02/025";283;11;4;5;303
"Dublin City 02/026";745;60;45;36;886
"Dublin City 02/027";786;35;31;8;860
"Dublin City 02/028";799;33;59;27;918
"Dublin City 02/029";812;35;56;8;911
"Dublin City 02/030";877;45;57;15;994
"Dublin City 02/031";761;20;30;4;815
"Dublin City 02/032";866;13;31;71;981
"Dublin City 02/033";1001;13;25;7;1046
"Dublin City 02/034";1019;40;56;8;1123
"Dublin City 02/035";826;23;33;7;889
"Dublin City 02/036";857;39;41;12;949
"Dublin City 02/037";1109;67;41;22;1239
"Dublin City 02/038";861;18;22;3;904
"Dublin City 02/039";1073;21;12;6;1112
"Dublin City 02/040";941;14;15;16;986
"Dublin City 02/041";861;33;21;15;930
"Dublin City 02/042";1083;47;32;2;1164
"Dublin City 02/043";947;34;22;19;1022
"Dublin City 02/044";859;32;31;6;928
"Dublin City 02/045";719;28;14;24;785
"Dublin City 02/046";882;22;20;17;941
"Dublin City 02/047";811;30;35;8;884
"Dublin City 02/048";886;28;15;13;942
"Dublin City 02/049";901;22;19;15;957
"Dublin City 02/050";1126;48;58;32;1264
"Dublin City 02/051";1229;33;7;12;1281
"Dublin City 02/052";1555;107;55;41;1758
"Dublin City 02/053";1455;79;25;44;1603
"Dublin City 02/054";905;27;9;5;946
"Dublin City 02/055";787;28;14;4;833
"Dublin City 02/056";859;29;14;6;908
"Dublin City 02/057";832;50;46;60;988
"Dublin City 02/058";795;14;20;14;843
"Dublin City 02/059";879;47;30;9;965
"Dublin City 02/060";896;50;51;6;1003
"Dublin City 02/061";740;38;58;9;845
"Dublin City 02/062";788;33;45;3;869
"Dublin City 02/063";1021;118;92;24;1255
"Dublin City 02/064";801;46;46;31;924
"Dublin City 02/065";807;55;54;7;923
"Dublin City 02/066";499;36;43;19;597
"Dublin City 02/067";706;32;64;23;825
"Dublin City 02/068";547;65;55;13;680
"Dublin City 02/069";320;17;40;9;386
"Dublin City 02/070";770;19;20;6;815
"Dublin City 02/071";438;24;34;6;502
"Dublin City 02/072";825;36;21;12;894
"Dublin City 02/073";909;19;31;11;970
"Dublin City 02/074";899;26;15;36;976
"Dublin City 02/075";522;80;104;8;714
"Dublin City 02/076";508;66;100;6;680
"Dublin City 02/077";701;65;85;6;857
"Dublin City 02/078";627;27;59;7;720
"Dublin City 02/079";808;32;65;13;918
"Dublin City 02/080";491;50;66;20;627
"Dublin City 02/081";894;45;64;8;1011
"Dublin City 02/082";826;38;41;16;921
"Dublin City 02/083";794;55;23;15;887
"Dublin City 02/084";880;39;20;26;965
"Dublin City 02/085";847;30;47;16;940
"Dublin City 02/086";732;41;33;3;809
"Dublin City 02/087";951;51;43;12;1057
"Dublin City 02/088";626;35;65;8;734
"Dublin City 02/089";676;20;21;9;726
"Dublin City 02/090";674;37;57;9;777
"Dublin City 02/091";794;37;44;18;893
"Dublin City 02/092";796;52;32;8;888
"Dublin City 02/093";903;91;92;17;1103
"Dublin City 02/094";773;52;93;2;920
"Dublin City 02/095";980;46;44;13;1083
"Dublin City 02/096";806;23;22;8;859
"Dublin City 02/097";615;23;46;5;689
"Dublin City 02/098";643;7;27;3;680
"Dublin City 02/099";950;44;42;11;1047
"Dublin City 02/100";845;51;46;35;977
"Dublin City 02/101";840;32;50;14;936
"Dublin City 02/102";857;23;26;9;915
"Dublin City 02/103";774;31;38;8;851
"Dublin City 02/104";893;31;50;4;978
"Dublin City 02/105";813;59;48;7;927
"Dublin City 02/106";829;38;31;2;900
"Dublin City 02/107";688;54;58;16;816
"Dublin City 02/108, 02/560";1509;116;101;29;1755
"Dublin City 02/109";685;26;61;13;785
"Dublin City 02/110";727;31;47;10;815
