"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Geographic Area";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"Dublin City and Suburbs  ";865194;71116;15090;38524;989924
"Dublin City 02  ";415199;38417;8385;23865;485866
"Dublin City 02/001";1339;50;6;16;1411
"Dublin City 02/002";970;46;1;0;1017
"Dublin City 02/003";932;46;1;3;982
"Dublin City 02/004";754;39;5;6;804
"Dublin City 02/005";739;40;1;13;793
"Dublin City 02/006";949;33;3;11;996
"Dublin City 02/007";953;36;3;9;1001
"Dublin City 02/008";1005;36;4;11;1056
"Dublin City 02/009";1044;42;6;15;1107
"Dublin City 02/010";890;40;8;10;948
"Dublin City 02/011";834;24;6;12;876
"Dublin City 02/012";879;33;3;20;935
"Dublin City 02/013";850;45;2;28;925
"Dublin City 02/014";930;47;3;22;1002
"Dublin City 02/015";1053;46;10;14;1123
"Dublin City 02/016";860;32;14;18;924
"Dublin City 02/017";1209;66;0;1;1276
"Dublin City 02/018";941;32;5;1;979
"Dublin City 02/019";891;99;1;1;992
"Dublin City 02/020";541;56;11;93;701
"Dublin City 02/021";1061;68;3;53;1185
"Dublin City 02/022";1113;128;2;11;1254
"Dublin City 02/023";1106;29;4;2;1141
"Dublin City 02/024";881;122;28;133;1164
"Dublin City 02/025";297;1;0;1;299
"Dublin City 02/026";801;33;11;18;863
"Dublin City 02/027";806;21;2;12;841
"Dublin City 02/028";793;66;10;34;903
"Dublin City 02/029";836;44;3;19;902
"Dublin City 02/030";843;88;13;32;976
"Dublin City 02/031";741;36;6;17;800
"Dublin City 02/032";894;43;8;16;961
"Dublin City 02/033";989;31;3;12;1035
"Dublin City 02/034";993;58;3;45;1099
"Dublin City 02/035";809;51;9;15;884
"Dublin City 02/036";830;60;13;26;929
"Dublin City 02/037";1099;77;7;18;1201
"Dublin City 02/038";851;34;3;5;893
"Dublin City 02/039";1059;26;4;6;1095
"Dublin City 02/040";933;29;3;2;967
"Dublin City 02/041";848;52;3;5;908
"Dublin City 02/042";1095;43;3;4;1145
"Dublin City 02/043";901;69;9;10;989
"Dublin City 02/044";872;28;0;6;906
"Dublin City 02/045";747;23;2;6;778
"Dublin City 02/046";898;26;4;3;931
"Dublin City 02/047";831;31;2;6;870
"Dublin City 02/048";894;37;2;4;937
"Dublin City 02/049";930;16;5;0;951
"Dublin City 02/050";1191;39;5;7;1242
"Dublin City 02/051";1235;23;1;4;1263
"Dublin City 02/052";1409;210;40;60;1719
"Dublin City 02/053";1499;56;5;5;1565
"Dublin City 02/054";892;41;1;0;934
"Dublin City 02/055";792;23;5;7;827
"Dublin City 02/056";869;19;0;7;895
"Dublin City 02/057";856;49;3;36;944
"Dublin City 02/058";765;45;5;11;826
"Dublin City 02/059";888;38;8;22;956
"Dublin City 02/060";919;36;7;23;985
"Dublin City 02/061";793;32;5;9;839
"Dublin City 02/062";791;45;4;13;853
"Dublin City 02/063";941;113;19;87;1160
"Dublin City 02/064";849;29;9;28;915
"Dublin City 02/065";824;32;11;40;907
"Dublin City 02/066";497;53;5;36;591
"Dublin City 02/067";723;39;14;16;792
"Dublin City 02/068";507;48;19;72;646
"Dublin City 02/069";313;33;4;24;374
"Dublin City 02/070";768;30;1;1;800
"Dublin City 02/071";411;48;7;23;489
"Dublin City 02/072";851;24;2;5;882
"Dublin City 02/073";929;20;0;12;961
"Dublin City 02/074";915;35;4;7;961
