"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Birthplace";"Ireland";"UK";"Poland";"Lithuania";"Other EU25";"Rest of World";"Total"
"Geographic Area";;;;;;;
"Leinster";1918869;124716;35482;15328;49017;116502;2259914
"Carlow County";43698;2631;1216;187;717;1239;49688
"001 Carlow Urban";3657;186;210;26;149;193;4421
"002 Graigue Urban";1226;64;64;10;46;80;1490
"003 Clonmore";480;35;0;0;2;10;527
"004 Hacketstown";960;47;28;2;14;9;1060
"005 Haroldstown";252;12;1;0;0;2;267
"006 Kineagh";285;23;0;0;0;1;309
"007 Rahill";533;32;1;5;3;11;585
"008 Rathvilly";734;52;1;0;6;7;800
"009 Tiknock";297;24;6;0;1;3;331
"010 Williamstown";243;19;2;0;4;3;271
"011 Agha";306;9;0;0;5;2;322
"012 Ballinacarrig";879;33;1;7;5;7;932
"013 Ballintemple";435;26;0;0;6;12;479
"014 Ballon";534;39;40;0;13;5;631
"015 Ballyellin";351;15;1;0;0;4;371
"016 Ballymoon";246;12;0;0;0;2;260
"017 Borris";861;77;19;0;2;23;982
"018 Burton Hall";333;24;0;0;2;8;367
"019 Carlow Rural";10353;744;392;95;246;530;12360
"020 Clogrenan";743;44;0;0;1;5;793
"021 Clonegall";841;55;0;0;5;3;904
"022 Corries";460;32;0;0;2;6;500
"023 Cranemore";767;43;34;0;15;15;874
"024 Fennagh";489;20;0;0;2;2;513
"025 Garryhill";546;23;0;0;3;4;576
"026 Grangeford";303;12;1;0;2;6;324
"027 Johnstown";507;17;0;0;1;6;531
"028 Kellistown";947;53;2;3;4;21;1030
"029 Kilbride";344;22;9;0;4;6;385
"030 Killedmond";369;21;3;0;7;7;407
"031 Killerrig";313;11;0;0;2;7;333
"032 Leighlinbridge";1320;82;14;3;10;51;1480
"033 Muinebeag (Bagenalstown) Rural";611;26;2;0;6;13;658
"034 Muinebeag (Bagenalstown) Urban";2234;113;95;14;26;31;2513
"035 Myshall";431;26;2;0;1;4;464
"036 Nurney";821;30;1;0;5;7;864
"037 Oldleighlin";419;20;0;0;3;2;444
"038 Rathanna";115;5;0;0;2;2;124
"039 Rathornan";350;15;0;0;0;0;365
"040 Rathrush";898;55;19;0;2;6;980
"041 Ridge";205;20;0;0;1;1;227
"042 Shangarry";433;29;1;0;0;8;471
"043 Sliguff";458;19;5;0;1;4;487
"044 Tankardstown";385;24;3;1;12;7;432
"045 Templepeter";375;14;0;0;5;12;406
"046 Tullowbeg";435;28;0;0;0;5;468
"047 Tullow Rural";429;27;15;0;8;9;488
"048 Tullow Urban";2285;148;243;21;73;62;2832
"049 Ballymurphy";236;10;0;0;1;1;248
"050 Coonogue";183;11;0;0;0;1;195
"051 Glynn";309;30;1;0;1;0;341
"052 Kyle";282;9;0;0;0;3;294
"053 Marley";296;12;0;0;1;0;309
"054 Tinnahinch";594;52;0;0;7;10;663
"Dublin City";401122;22231;10580;2600;17526;37496;491555
"001 Arran Quay A";936;56;70;29;97;278;1466
"002 Arran Quay B";1954;159;250;45;363;838;3609
"003 Arran Quay C";1895;198;258;24;444;715;3534
"004 Arran Quay D";2622;185;81;46;163;248;3345
"005 Arran Quay E";2241;171;123;22;108;189;2854
"006 Ashtown A";6460;286;183;48;226;425;7628
"007 Ashtown B";2196;88;37;7;80;104;2512
"008 Ayrfield";4910;221;30;7;48;96;5312
"009 Ballybough A";2949;131;121;23;147;205;3576
"010 Ballybough B";1921;139;228;42;204;384;2918
"011 Ballygall A";2893;108;73;18;89;123;3304
"012 Ballygall B";1620;61;20;8;38;41;1788
"013 Ballygall C";3240;105;38;4;50;101;3538
"014 Ballygall D";2272;74;38;8;43;37;2472
"015 Ballymun A";1960;85;6;10;4;31;2096
"016 Ballymun B";3413;204;121;26;56;101;3921
"017 Ballymun C";5411;241;46;17;82;84;5881
"018 Ballymun D";2989;150;135;32;76;91;3473
"019 Ballymun E";1418;44;14;3;20;35;1534
"020 Ballymun F";2278;80;30;5;36;38;2467
"021 Beaumont A";2317;93;21;1;57;97;2586
"022 Beaumont B";4155;150;93;53;89;456;4996
"023 Beaumont C";2720;99;33;37;55;79;3023
"024 Beaumont D";2126;66;13;30;26;93;2354
"025 Beaumont E";1833;68;33;10;47;85;2076
"026 Beaumont F";3045;122;74;20;85;212;3558
"027 Botanic A";2586;175;42;6;76;163;3048
"028 Botanic B";2508;185;77;12;144;195;3121
"029 Botanic C";1522;101;80;29;123;180;2035
"030 Cabra East A";3803;269;229;59;319;570;5249
"031 Cabra East B";3033;114;99;13;65;159;3483
"032 Cabra East C";2396;150;174;53;216;286;3275
"033 Cabra West A";1481;45;6;0;13;17;1562
"034 Cabra West B";2438;70;30;1;55;34;2628
"035 Cabra West C";2521;90;38;30;65;96;2840
"036 Cabra West D";2365;104;50;28;78;166;2791
"037 Clontarf East A";2963;120;18;12;26;73;3212
"038 Clontarf East B";5572;330;76;26;225;313;6542
"039 Clontarf East C";2622;138;30;7;58;101;2956
"040 Clontarf East D";2278;138;17;6;70;117;2626
"041 Clontarf East E";1422;89;13;6;37;56;1623
"042 Clontarf West A";2946;129;43;26;98;164;3406
"043 Clontarf West B";2169;80;28;9;36;64;2386
"044 Clontarf West C";2621;194;79;13;219;306;3432
"045 Clontarf West D";1503;98;93;15;148;184;2041
"046 Clontarf West E";2027;95;37;12;43;104;2318
"047 Drumcondra South A";3193;190;100;20;134;243;3880
"048 Drumcondra South B";1090;66;44;3;50;86;1339
"049 Drumcondra South C";2835;135;22;18;70;127;3207
"050 Edenmore";2529;102;10;11;40;54;2746
"051 Finglas North A";3301;117;9;2;9;26;3464
"052 Finglas North B";2777;89;19;6;31;31;2953
"053 Finglas North C";2768;119;53;5;37;33;3015
"054 Finglas South A";2458;64;18;7;23;55;2625
"055 Finglas South B";3033;116;16;13;31;84;3293
"056 Finglas South C";2486;62;4;6;12;15;2585
"057 Finglas South D";2059;60;10;8;14;29;2180
"058 Grace Park";5182;227;53;41;139;218;5860
"059 Grange A";6286;326;44;26;97;235;7014
"060 Grange B";2444;117;109;19;41;111;2841
"061 Grange C";3055;115;19;16;41;52;3298
"062 Grange D";3772;181;37;23;35;137;4185
"063 Grange E";2423;122;19;9;17;52;2642
"064 Harmonstown A";2576;94;11;14;47;57;2799
"065 Harmonstown B";2371;102;32;11;44;65;2625
"066 Inns Quay A";2703;111;77;33;198;543;3665
"067 Inns Quay B";1856;124;172;53;297;534;3036
"068 Inns Quay C";1794;73;111;11;190;454;2633
"069 Kilmore A";3010;125;46;65;69;152;3467
"070 Kilmore B";2610;77;10;4;8;80;2789
"071 Kilmore C";1383;48;4;0;6;15;1456
"072 Kilmore D";2113;55;15;16;16;37;2252
"073 Mountjoy A";2109;105;266;30;274;546;3330
"074 Mountjoy B";1576;99;368;71;406;788;3308
"075 North City";1296;117;155;27;421;891;2907
"076 North Dock A";959;52;34;13;41;84;1183
"077 North Dock B";2960;155;79;45;177;178;3594
"078 North Dock C";2593;166;166;28;303;653;3909
"079 Phoenix Park";1131;93;52;21;62;174;1533
"080 Priorswood A";1480;63;3;2;9;19;1576
"081 Priorswood B";2713;107;0;6;4;45;2875
"082 Priorswood C";3245;175;12;4;12;68;3516
"083 Priorswood D";2519;99;26;18;37;51;2750
"084 Priorswood E";2563;89;8;10;21;31;2722
"085 Raheny-Foxfield";2363;105;4;3;16;42;2533
"086 Raheny-Greendale";2071;116;13;11;16;41;2268
"087 Raheny-St. Assam";2978;144;14;2;49;90;3277
"088 Rotunda A";2125;121;329;50;364;1076;4065
"089 Rotunda B";981;74;138;28;292;543;2056
"090 Whitehall A";3232;123;43;5;75;185;3663
"091 Whitehall B";3442;164;45;33;106;147;3937
"092 Whitehall C";1881;78;27;19;54;94;2153
"093 Whitehall D";2065;131;61;17;72;196;2542
"094 Chapelizod";2349;206;77;23;87;264;3006
"095 Cherry Orchard A";2479;130;24;19;29;128;2809
"096 Carna";2581;66;3;1;7;30;2688
"097 Cherry Orchard C";3497;113;45;23;20;91;3789
"098 Crumlin A";3445;98;41;9;43;133;3769
"099 Crumlin B";2826;101;34;15;26;112;3114
"100 Crumlin C";2058;77;53;5;52;126;2371
"101 Crumlin D";3502;141;64;15;70;189;3981
"102 Crumlin E";2554;71;31;2;28;100;2786
"103 Crumlin F";2551;82;70;18;40;308;3069
"104 Decies";2726;49;12;0;8;41;2836
"105 Drumfinn";3342;83;15;9;10;63;3522
"106 Inchicore A";1595;76;122;6;40;93;1932
"107 Inchicore B";1573;78;40;4;23;78;1796
"108 Kilmainham A";2205;82;31;13;18;63;2412
"109 Kilmainham B";1205;137;70;13;88;121;1634
"110 Kilmainham C";3326;179;168;37;129;364;4203
"111 Kimmage A";1863;54;24;1;28;39;2009
"112 Kimmage B";3417;104;43;8;27;75;3674
"113 Kimmage C";2334;155;52;8;116;199;2864
"114 Kimmage D";2358;102;8;4;36;78;2586
"115 Kimmage E";3051;134;45;0;57;97;3384
"116 Kylemore";2559;84;6;0;12;25;2686
"117 Mansion House A";2886;218;73;24;255;441;3897
"118 Mansion House B";354;38;13;0;69;83;557
"119 Merchants Quay A";1242;70;96;13;151;297;1869
"120 Merchants Quay B";2004;156;255;11;452;916;3794
"121 Merchants Quay C";1976;127;126;14;186;371;2800
"122 Merchants Quay D";1619;103;40;7;99;163;2031
"123 Merchants Quay E";1355;103;54;8;151;542;2213
"124 Merchants Quay F";1763;113;73;22;73;369;2413
"125 Pembroke East A";4133;188;49;6;151;178;4705
"126 Pembroke East B";2731;247;43;17;122;209;3369
"127 Pembroke East C";2809;316;26;23;159;358;3691
"128 Pembroke East D";3260;251;30;7;149;527;4224
"129 Pembroke East E";2406;294;27;14;247;426;3414
"130 Pembroke West A";3145;270;63;8;187;352;4025
"131 Pembroke West B";1968;222;17;8;137;439;2791
"132 Pembroke West C";2625;308;71;10;252;503;3769
"133 Rathfarnham";3573;382;44;14;154;398;4565
"134 Rathmines East A";2940;279;89;18;213;601;4140
"135 Rathmines East B";3989;356;65;20;224;548;5202
"136 Rathmines East C";2659;233;37;7;119;285;3340
"137 Rathmines East D";1982;185;38;10;118;360;2693
"138 Rathmines West A";3177;285;246;52;334;798;4892
"139 Rathmines West B";2038;229;134;24;256;500;3181
"140 Rathmines West C";1831;183;80;13;150;299;2556
"141 Rathmines West D";2275;206;88;12;152;416;3149
"142 Rathmines West E";2423;220;65;11;156;329;3204
"143 Rathmines West F";1950;226;80;14;141;390;2801
"144 Royal Exchange A";1776;172;45;8;318;536;2855
"145 Royal Exchange B";1073;69;10;2;104;284;1542
"146 St. Kevin's";2700;261;157;24;310;922;4374
"147 South Dock";3143;374;113;12;493;587;4722
"148 Terenure A";2765;170;54;6;113;209;3317
"149 Terenure B";2840;153;22;11;73;172;3271
"150 Terenure C";1571;98;15;1;20;59;1764
"151 Terenure D";725;52;1;0;6;16;800
"152 Ushers A";1014;94;114;6;92;577;1897
"153 Ushers B";709;76;103;9;91;249;1237
"154 Ushers C";2368;151;139;11;129;222;3020
"155 Ushers D";1180;79;79;4;36;256;1634
"156 Ushers E";1588;72;35;4;50;160;1909
"157 Ushers F";2529;188;40;10;98;321;3186
"158 Walkinstown A";1792;58;28;10;11;64;1963
"159 Walkinstown B";1637;63;14;7;12;62;1795
"160 Walkinstown C";1930;70;36;12;31;44;2123
"161 Wood Quay A";2173;131;21;6;94;172;2597
"162 Wood Quay B";2161;199;119;16;240;668;3403
"Dún Laoghaire-Rathdown";161430;11742;1788;386;4391;10684;190421
"001 Ballinteer-Broadford";2749;143;29;7;35;169;3132
"002 Ballinteer-Ludford";1914;83;6;7;17;69;2096
"003 Ballinteer-Marley";2189;105;11;7;23;91;2426
"004 Ballinteer-Meadowbroads";1366;83;7;4;29;71;1560
"005 Ballinteer-Meadowmount";1792;87;5;14;16;44;1958
"006 Ballinteer-Woodpark";3770;238;16;0;63;177;4264
"007 Ballybrack";2854;155;13;2;31;100;3155
"008 Blackrock-Booterstown";2209;209;51;2;96;287;2854
"009 Blackrock-Carysfort";4572;306;56;10;162;398;5504
"010 Blackrock-Central";2720;268;40;13;125;325;3491
"011 Blackrock-Glenomena";1445;94;9;5;61;171;1785
"012 Blackrock-Monkstown";2401;236;54;26;113;173;3003
"013 Blackrock-Newpark";1774;148;20;3;49;97;2091
"014 Blackrock-Seapoint";1012;108;23;2;71;90;1306
