"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
;"Marital Status";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
"Geographic Area";"Age Group";;;;;;;;;;;;
"Leinster";"0 - 4 years";85331;85331;0;0;0;0;81552;81552;0;0;0;0
;"5 - 9 years";79396;79396;0;0;0;0;75094;75094;0;0;0;0
;"10 - 14 years";74076;74076;0;0;0;0;69963;69963;0;0;0;0
;"15 - 19 years";78216;77934;236;14;4;28;75523;75131;343;26;4;19
"Carlow County";"0 - 4 years";1893;1893;0;0;0;0;1949;1949;0;0;0;0
;"5 - 9 years";1784;1784;0;0;0;0;1634;1634;0;0;0;0
;"10 - 14 years";1741;1741;0;0;0;0;1569;1569;0;0;0;0
;"15 - 19 years";1835;1830;4;1;0;0;1773;1763;7;1;0;2
"001 Carlow Urban";"0 - 4 years";98;98;0;0;0;0;130;130;0;0;0;0
;"5 - 9 years";82;82;0;0;0;0;98;98;0;0;0;0
;"10 - 14 years";105;105;0;0;0;0;97;97;0;0;0;0
;"15 - 19 years";144;142;1;1;0;0;158;157;0;1;0;0
"002 Graigue Urban";"0 - 4 years";46;46;0;0;0;0;49;49;0;0;0;0
;"5 - 9 years";38;38;0;0;0;0;37;37;0;0;0;0
;"10 - 14 years";42;42;0;0;0;0;31;31;0;0;0;0
;"15 - 19 years";47;47;0;0;0;0;45;45;0;0;0;0
"003 Clonmore";"0 - 4 years";20;20;0;0;0;0;19;19;0;0;0;0
;"5 - 9 years";22;22;0;0;0;0;18;18;0;0;0;0
;"10 - 14 years";23;23;0;0;0;0;19;19;0;0;0;0
;"15 - 19 years";19;19;0;0;0;0;22;22;0;0;0;0
"004 Hacketstown";"0 - 4 years";46;46;0;0;0;0;31;31;0;0;0;0
;"5 - 9 years";44;44;0;0;0;0;31;31;0;0;0;0
;"10 - 14 years";41;41;0;0;0;0;29;29;0;0;0;0
;"15 - 19 years";43;43;0;0;0;0;42;42;0;0;0;0
"005 Haroldstown";"0 - 4 years";6;6;0;0;0;0;12;12;0;0;0;0
;"5 - 9 years";20;20;0;0;0;0;13;13;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";9;9;0;0;0;0;10;10;0;0;0;0
"006 Kineagh";"0 - 4 years";8;8;0;0;0;0;12;12;0;0;0;0
;"5 - 9 years";12;12;0;0;0;0;19;19;0;0;0;0
;"10 - 14 years";16;16;0;0;0;0;9;9;0;0;0;0
;"15 - 19 years";13;13;0;0;0;0;13;13;0;0;0;0
"007 Rahill";"0 - 4 years";26;26;0;0;0;0;18;18;0;0;0;0
;"5 - 9 years";18;18;0;0;0;0;19;19;0;0;0;0
;"10 - 14 years";20;20;0;0;0;0;26;26;0;0;0;0
;"15 - 19 years";25;25;0;0;0;0;12;12;0;0;0;0
"008 Rathvilly";"0 - 4 years";25;25;0;0;0;0;43;43;0;0;0;0
;"5 - 9 years";36;36;0;0;0;0;32;32;0;0;0;0
;"10 - 14 years";45;45;0;0;0;0;25;25;0;0;0;0
;"15 - 19 years";23;23;0;0;0;0;24;24;0;0;0;0
"009 Tiknock";"0 - 4 years";19;19;0;0;0;0;22;22;0;0;0;0
;"5 - 9 years";15;15;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";12;12;0;0;0;0;6;6;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;8;8;0;0;0;0
"010 Williamstown";"0 - 4 years";15;15;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";8;8;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";10;10;0;0;0;0;4;4;0;0;0;0
;"15 - 19 years";11;11;0;0;0;0;9;9;0;0;0;0
"011 Agha";"0 - 4 years";13;13;0;0;0;0;15;15;0;0;0;0
;"5 - 9 years";9;9;0;0;0;0;14;14;0;0;0;0
;"10 - 14 years";12;12;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";17;17;0;0;0;0;6;6;0;0;0;0
"012 Ballinacarrig";"0 - 4 years";39;39;0;0;0;0;29;29;0;0;0;0
;"5 - 9 years";33;33;0;0;0;0;23;23;0;0;0;0
;"10 - 14 years";36;36;0;0;0;0;32;32;0;0;0;0
;"15 - 19 years";46;46;0;0;0;0;29;29;0;0;0;0
"013 Ballintemple";"0 - 4 years";18;18;0;0;0;0;18;18;0;0;0;0
;"5 - 9 years";15;15;0;0;0;0;20;20;0;0;0;0
;"10 - 14 years";24;24;0;0;0;0;20;20;0;0;0;0
