"Theme 2 - 2 : Persons usually resident and present in the State on Census Night, classified by nationality, 2006";;;;;;;;
"Nationality";"Irish";"UK";"Polish";"Lithuanian";"Other EU25";"Rest of World";"Not Stated";"Total"
"Geographic Area";;;;;;;;
"Leinster";1986133;49163;35688;15245;47063;98734;27888;2259914
"Carlow County";44771;1268;1235;195;711;1061;447;49688
"001 Carlow Urban";3726;84;208;27;146;184;46;4421
"002 Graigue Urban";1246;30;65;10;51;74;14;1490
"003 Clonmore";489;25;0;0;3;5;5;527
"004 Hacketstown";965;31;28;3;11;8;14;1060
"005 Haroldstown";255;8;1;0;0;1;2;267
"006 Kineagh";300;8;0;0;0;1;0;309
"007 Rahill";547;14;1;5;2;9;7;585
"008 Rathvilly";757;28;1;0;5;4;5;800
"009 Tiknock";305;17;6;0;1;2;0;331
"010 Williamstown";248;11;2;0;4;3;3;271
"011 Agha";309;7;0;0;4;2;0;322
"012 Ballinacarrig";905;6;1;7;4;6;3;932
"013 Ballintemple";444;19;0;0;6;9;1;479
"014 Ballon";557;14;40;0;12;3;5;631
"015 Ballyellin";359;5;1;0;0;5;1;371
"016 Ballymoon";249;10;0;0;0;1;0;260
"017 Borris";894;39;19;0;1;22;7;982
"018 Burton Hall";348;9;0;0;0;8;2;367
"019 Carlow Rural";10667;337;399;97;256;460;144;12360
"020 Clogrenan";758;21;0;0;0;5;9;793
"021 Clonegall";844;33;0;0;7;4;16;904
"022 Corries";464;32;0;0;0;2;2;500
"023 Cranemore";793;18;35;0;15;9;4;874
"024 Fennagh";493;13;0;0;2;4;1;513
"025 Garryhill";555;9;0;0;3;2;7;576
"026 Grangeford";304;8;1;0;1;7;3;324
"027 Johnstown";518;4;0;0;1;2;6;531
"028 Kellistown";989;15;2;3;4;11;6;1030
"029 Kilbride";350;15;9;0;2;8;1;385
"030 Killedmond";372;14;4;0;8;5;4;407
"031 Killerrig";322;1;0;0;2;6;2;333
"032 Leighlinbridge";1356;39;14;4;11;43;13;1480
"033 Muinebeag (Bagenalstown) Rural";622;12;2;0;4;11;7;658
"034 Muinebeag (Bagenalstown) Urban";2280;49;99;14;29;24;18;2513
"035 Myshall";435;14;2;0;3;2;8;464
"036 Nurney";836;15;1;0;4;4;4;864
"037 Oldleighlin";431;10;0;0;2;1;0;444
