"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Usual Residence";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"Geographic Area";;;;;
"Leinster";1968918;134031;53638;69762;2226349
"Carlow County";43769;2357;1527;1324;48977
"001 Carlow Urban";3609;366;148;256;4379
"002 Graigue Urban";1300;57;41;83;1481
"003 Clonmore";495;5;17;3;520
"004 Hacketstown";970;35;20;19;1044
"005 Haroldstown";249;4;5;7;265
"006 Kineagh";283;13;10;0;306
"007 Rahill";493;16;51;12;572
"008 Rathvilly";700;37;38;9;784
"009 Tiknock";301;1;10;8;320
"010 Williamstown";228;18;11;7;264
"011 Agha";289;19;6;3;317
"012 Ballinacarrig";842;43;24;11;920
"013 Ballintemple";429;30;8;5;472
"014 Ballon";512;61;28;23;624
"015 Ballyellin";361;5;2;1;369
"016 Ballymoon";243;3;7;3;256
"017 Borris";897;24;20;25;966
"018 Burton Hall";330;17;8;4;359
"019 Carlow Rural";10395;816;518;428;12157
"020 Clogrenan";725;24;30;3;782
"021 Clonegall";828;28;33;5;894
"022 Corries";476;6;9;0;491
"023 Cranemore";748;27;60;31;866
"024 Fennagh";481;16;8;4;509
"025 Garryhill";534;22;8;5;569
"026 Grangeford";275;18;21;6;320
"027 Johnstown";497;10;12;3;522
"028 Kellistown";969;25;10;10;1014
"029 Kilbride";360;7;10;2;379
"030 Killedmond";368;16;16;4;404
"031 Killerrig";303;10;8;6;327
"032 Leighlinbridge";1376;40;7;36;1459
"033 Muinebeag (Bagenalstown) Rural";620;20;9;3;652
"034 Muinebeag (Bagenalstown) Urban";2313;87;28;59;2487
"035 Myshall";390;25;35;7;457
"036 Nurney";829;13;14;4;860
"037 Oldleighlin";415;13;6;2;436
"038 Rathanna";118;1;2;1;122
"039 Rathornan";340;18;3;0;361
"040 Rathrush";799;75;48;30;952
"041 Ridge";197;11;8;1;217
"042 Shangarry";447;6;8;3;464
"043 Sliguff";459;13;9;0;481
"044 Tankardstown";398;13;7;12;430
"045 Templepeter";386;11;2;1;400
"046 Tullowbeg";417;28;14;5;464
"047 Tullow Rural";433;17;16;16;482
"048 Tullow Urban";2413;161;67;144;2785
"049 Ballymurphy";225;5;2;8;240
"050 Coonogue";184;2;5;0;191
"051 Glynn";322;5;7;4;338
"052 Kyle";276;4;6;0;286
"053 Marley";296;3;6;0;305
"054 Tinnahinch";626;7;21;2;656
"Dublin City";415199;38417;8385;23865;485866
"001 Arran Quay A";1047;163;53;189;1452
"002 Arran Quay B";2510;476;119;449;3554
"003 Arran Quay C";2162;650;165;524;3501
"004 Arran Quay D";2796;282;60;176;3314
"005 Arran Quay E";2303;292;58;165;2818
"006 Ashtown A";6491;622;140;306;7559
"007 Ashtown B";2243;154;28;63;2488
"008 Ayrfield";4872;265;23;87;5247
"009 Ballybough A";2997;322;41;164;3524
"010 Ballybough B";2162;299;77;354;2892
"011 Ballygall A";2808;294;38;121;3261
"012 Ballygall B";1584;124;19;49;1776
"013 Ballygall C";3236;164;26;83;3509
"014 Ballygall D";2204;163;23;61;2451
"015 Ballymun A";1874;181;6;10;2071
"016 Ballymun B";3397;280;34;147;3858
"017 Ballymun C";5421;236;52;100;5809
"018 Ballymun D";2991;239;19;147;3396
"019 Ballymun E";1410;63;24;26;1523
"020 Ballymun F";2283;107;5;56;2451
"021 Beaumont A";2352;120;16;75;2563
"022 Beaumont B";4262;352;62;246;4922
"023 Beaumont C";2696;190;29;79;2994
"024 Beaumont D";2194;88;29;30;2341
"025 Beaumont E";1878;88;18;75;2059
"026 Beaumont F";3087;243;58;140;3528
"027 Botanic A";2587;255;46;131;3019
"028 Botanic B";2550;310;85;151;3096
"029 Botanic C";1664;185;43;129;2021
"030 Cabra East A";4190;505;120;385;5200
"031 Cabra East B";3183;142;27;103;3455
"032 Cabra East C";2641;295;77;233;3246
"033 Cabra West A";1489;35;3;19;1546
"034 Cabra West B";2412;126;13;42;2593
"035 Cabra West C";2603;112;19;71;2805
"036 Cabra West D";2465;164;25;108;2762
"037 Clontarf East A";3005;107;15;43;3170
"038 Clontarf East B";5843;353;59;218;6473
"039 Clontarf East C";2634;183;24;85;2926
"040 Clontarf East D";2279;224;27;77;2607
"041 Clontarf East E";1464;89;18;35;1606
"042 Clontarf West A";3026;196;47;91;3360
"043 Clontarf West B";2158;136;16;51;2361
"044 Clontarf West C";2673;404;86;227;3390
"045 Clontarf West D";1611;185;45;185;2026
"046 Clontarf West E";2037;142;35;72;2286
"047 Drumcondra South A";3192;349;121;189;3851
"048 Drumcondra South B";1082;128;43;79;1332
"049 Drumcondra South C";2670;296;107;100;3173
"050 Edenmore";2581;78;22;35;2716
"051 Finglas North A";3241;142;8;19;3410
"052 Finglas North B";2783;103;11;33;2930
"053 Finglas North C";2822;108;19;44;2993
"054 Finglas South A";2442;112;9;30;2593
"055 Finglas South B";2997;173;18;51;3239
"056 Finglas South C";2429;101;10;8;2548
"057 Finglas South D";1996;112;12;14;2134
"058 Grace Park";5230;328;104;146;5808
"059 Grange A";6435;281;51;113;6880
"060 Grange B";2173;464;38;129;2804
"061 Grange C";3098;101;15;49;3263
"062 Grange D";3871;174;30;72;4147
"063 Grange E";2476;79;10;49;2614
"064 Harmonstown A";2622;88;20;48;2778
"065 Harmonstown B";2429;123;11;31;2594
"066 Inns Quay A";2887;346;102;313;3648
"067 Inns Quay B";2405;273;53;275;3006
"068 Inns Quay C";2125;225;39;212;2601
"069 Kilmore A";3052;217;34;96;3399
"070 Kilmore B";2647;81;4;27;2759
"071 Kilmore C";1401;30;0;14;1445
"072 Kilmore D";2100;83;15;34;2232
"073 Mountjoy A";2330;401;72;474;3277
"074 Mountjoy B";2350;318;52;547;3267
"075 North City";1999;398;60;428;2885
"076 North Dock A";971;112;31;55;1169
"077 North Dock B";3039;281;55;172;3547
"078 North Dock C";3121;309;109;330;3869
"079 Phoenix Park";1110;248;49;111;1518
"080 Priorswood A";1446;81;8;13;1548
"081 Priorswood B";2728;84;6;10;2828
"082 Priorswood C";3254;163;6;31;3454
"083 Priorswood D";2525;133;14;40;2712
"084 Priorswood E";2573;63;24;26;2686
"085 Raheny-Foxfield";2393;72;7;29;2501
"086 Raheny-Greendale";2117;71;22;34;2244
"087 Raheny-St. Assam";3037;141;13;59;3250
"088 Rotunda A";3060;414;60;456;3990
"089 Rotunda B";1306;302;42;307;1957
"090 Whitehall A";2969;343;159;160;3631
"091 Whitehall B";3310;330;100;164;3904
"092 Whitehall C";1960;86;24;64;2134
"093 Whitehall D";2069;227;62;158;2516
"094 Chapelizod";2448;303;53;160;2964
"095 Cherry Orchard A";2580;136;17;27;2760
"096 Carna";2571;82;12;8;2673
"097 Cherry Orchard C";3360;251;41;67;3719
"098 Crumlin A";3477;149;24;70;3720
"099 Crumlin B";2856;140;31;48;3075
"100 Crumlin C";2090;137;39;81;2347
"101 Crumlin D";3580;229;29;89;3927
"102 Crumlin E";2594;89;13;60;2756
"103 Crumlin F";2614;174;39;155;2982
"104 Decies";2695;79;6;24;2804
"105 Drumfinn";3348;108;8;21;3485
"106 Inchicore A";1642;134;34;102;1912
"107 Inchicore B";1621;94;8;47;1770
"108 Kilmainham A";2106;220;13;40;2379
"109 Kilmainham B";1261;200;45;102;1608
"110 Kilmainham C";3466;363;85;224;4138
"111 Kimmage A";1865;76;13;35;1989
"112 Kimmage B";3399;143;24;71;3637
"113 Kimmage C";2193;348;143;158;2842
"114 Kimmage D";2318;167;31;42;2558
"115 Kimmage E";3004;223;43;79;3349
"116 Kylemore";2553;83;6;14;2656
"117 Mansion House A";2993;462;98;311;3864
"118 Mansion House B";387;69;20;78;554
"119 Merchants Quay A";1404;230;41;178;1853
"120 Merchants Quay B";2592;551;103;519;3765
"121 Merchants Quay C";2111;341;56;256;2764
"122 Merchants Quay D";1695;177;28;103;2003
"123 Merchants Quay E";1488;309;122;265;2184
"124 Merchants Quay F";1887;226;28;155;2296
"125 Pembroke East A";4092;333;70;157;4652
"126 Pembroke East B";2873;256;59;150;3338
"127 Pembroke East C";3099;304;72;175;3650
"128 Pembroke East D";3447;401;82;268;4198
"129 Pembroke East E";2662;361;79;282;3384
"130 Pembroke West A";3036;528;130;290;3984
"131 Pembroke West B";2228;280;79;189;2776
"132 Pembroke West C";2948;395;97;304;3744
"133 Rathfarnham";3604;446;196;299;4545
"134 Rathmines East A";3075;561;151;320;4107
"135 Rathmines East B";3919;679;188;349;5135
"136 Rathmines East C";2776;288;66;166;3296
"137 Rathmines East D";2104;303;101;157;2665
"138 Rathmines West A";3454;680;219;507;4860
"139 Rathmines West B";2175;519;121;342;3157
"140 Rathmines West C";1973;283;88;190;2534
"141 Rathmines West D";2509;357;83;175;3124
"142 Rathmines West E";2525;334;110;200;3169
"143 Rathmines West F";2080;342;137;222;2781
"144 Royal Exchange A";2173;299;69;298;2839
"145 Royal Exchange B";1255;127;32;122;1536
"146 St. Kevin's";3181;524;137;491;4333
"147 South Dock";3050;776;215;566;4607
"148 Terenure A";2743;260;121;163;3287
"149 Terenure B";2833;258;61;86;3238
"150 Terenure C";1590;112;11;36;1749
"151 Terenure D";734;45;3;9;791
"152 Ushers A";1255;248;73;290;1866
"153 Ushers B";866;171;23;159;1219
"154 Ushers C";2457;274;39;206;2976
"155 Ushers D";1121;340;26;114;1601
"156 Ushers E";1637;132;36;80;1885
"157 Ushers F";2483;394;89;174;3140
"158 Walkinstown A";1807;74;15;45;1941
"159 Walkinstown B";1670;80;9;22;1781
"160 Walkinstown C";1973;92;9;33;2107
"161 Wood Quay A";2292;154;33;98;2577
"162 Wood Quay B";2675;337;70;286;3368
"Dún Laoghaire-Rathdown";166847;12762;2940;5619;188168
"001 Ballinteer-Broadford";2815;189;36;67;3107
"002 Ballinteer-Ludford";1934;95;15;29;2073
"003 Ballinteer-Marley";2227;120;26;37;2410
"004 Ballinteer-Meadowbroads";1417;77;18;34;1546
"005 Ballinteer-Meadowmount";1830;77;12;22;1941
"006 Ballinteer-Woodpark";3749;314;51;88;4202
"007 Ballybrack";2928;83;43;73;3127
"008 Blackrock-Booterstown";2275;315;74;164;2828
"009 Blackrock-Carysfort";4622;505;122;194;5443
"010 Blackrock-Central";2919;249;86;196;3450
"011 Blackrock-Glenomena";1517;148;39;66;1770
"012 Blackrock-Monkstown";2580;258;33;98;2969
"013 Blackrock-Newpark";1895;102;20;56;2073
"014 Blackrock-Seapoint";1101;108;13;61;1283
"015 Blackrock-Stradbrook";2116;123;23;49;2311
"016 Blackrock-Templehill";2309;172;46;85;2612
"017 Blackrock-Williamstown";1923;211;57;92;2283
"018 Cabinteely-Granitefield";2185;100;23;54;2362
